Municipio,Conf,factor_densidad,Año,factor_pods
Cubarral,2,1.1,2,1.018097015
Cubarral,2,1.1,3,1.019047619
Cubarral,2,1.1,4,1.015647226
Cubarral,2,1.1,5,1.014885331
Cubarral,2,1.2,2,1.031156716
Cubarral,2,1.2,3,1.035497835
Cubarral,2,1.2,4,1.030049787
Cubarral,2,1.2,5,1.029597577
Cubarral,2,1.3,2,1.035634328
Cubarral,2,1.3,3,1.047965368
Cubarral,2,1.3,4,1.044541252
Cubarral,2,1.3,5,1.043963652
Cubarral,3,0.7,2,0.928999622
Cubarral,3,0.7,3,0.940736879
Cubarral,3,0.7,4,0.956278734
Cubarral,3,0.7,5,0.953855601
Cubarral,3,0.8,2,0.955181543
Cubarral,3,0.8,3,0.960462287
Cubarral,3,0.8,4,0.970431804
Cubarral,3,0.8,5,0.969032371
Cubarral,3,0.9,2,0.979954614
Cubarral,3,0.9,3,0.980187696
Cubarral,3,0.9,4,0.984945461
Cubarral,3,0.9,5,0.984560049
Cubarral,3,1,2,1
Cubarral,3,1,3,1
Cubarral,3,1,4,1
Cubarral,3,1,5,1
Cubarral,3,1.1,2,1.015979576
Cubarral,3,1.1,3,1.019899201
Cubarral,3,1.1,4,1.015775714
Cubarral,3,1.1,5,1.015264497
Cubarral,3,1.2,2,1.023827534
Cubarral,3,1.2,3,1.03562739
Cubarral,3,1.2,4,1.029387902
Cubarral,3,1.2,5,1.029739451
Cubarral,3,1.3,2,1.027136914
Cubarral,3,1.3,3,1.046489399
Cubarral,3,1.3,4,1.043631119
Cubarral,3,1.3,5,1.043863497
Cubarral,4,0.7,2,0.905605242
Cubarral,4,0.7,3,0.937467833
Cubarral,4,0.7,4,0.948841536
Cubarral,4,0.7,5,0.95048004
Cubarral,4,0.8,2,0.939785708
Cubarral,4,0.8,3,0.958054555
Cubarral,4,0.8,4,0.966260781
Cubarral,4,0.8,5,0.967660435
Cubarral,4,0.9,2,0.970335606
Cubarral,4,0.9,3,0.980099502
Cubarral,4,0.9,4,0.983341789
Cubarral,4,0.9,5,0.983409129
Cubarral,4,1,2,1
Cubarral,4,1,3,1
Cubarral,4,1,4,1
Cubarral,4,1,5,1
Cubarral,4,1.1,2,1.023377313
Cubarral,4,1.1,3,1.016640933
Cubarral,4,1.1,4,1.016235413
Cubarral,4,1.1,5,1.016001347
Cubarral,4,1.2,2,1.042592757
Cubarral,4,1.2,3,1.035512095
Cubarral,4,1.2,4,1.03204803
Cubarral,4,1.2,5,1.032255348
Cubarral,4,1.3,2,1.054547065
Cubarral,4,1.3,3,1.05078058
Cubarral,4,1.3,4,1.047860646
Cubarral,4,1.3,5,1.047919825
