CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
35035020,AEROPUERTO VANGUARDIA [35035020],4.1619194440,-73.61757778,422,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,Villavicencio,15/10/1924 00:00,,TEMPERATURA,TSSM_CON,"Temperatura seca de las 700, 1300 y 1800",Horaria,2005-01-13 19:00,23.7,50,,900
35035020,AEROPUERTO VANGUARDIA [35035020],4.1619194440,-73.61757778,422,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,Villavicencio,15/10/1924 00:00,,TEMPERATURA,TSSM_CON,"Temperatura seca de las 700, 1300 y 1800",Horaria,2005-01-14 07:00,22.2,50,,900
35035020,AEROPUERTO VANGUARDIA [35035020],4.1619194440,-73.61757778,422,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,Villavicencio,15/10/1924 00:00,,TEMPERATURA,TSSM_CON,"Temperatura seca de las 700, 1300 y 1800",Horaria,2005-01-14 13:00,25,50,,900
35035020,AEROPUERTO VANGUARDIA [35035020],4.1619194440,-73.61757778,422,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,Villavicencio,15/10/1924 00:00,,TEMPERATURA,TSSM_CON,"Temperatura seca de las 700, 1300 y 1800",Horaria,2005-01-14 19:00,26.3,50,,900
35035020,AEROPUERTO VANGUARDIA [35035020],4.1619194440,-73.61757778,422,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,Villavicencio,15/10/1924 00:00,,TEMPERATURA,TSSM_CON,"Temperatura seca de las 700, 1300 y 1800",Horaria,2005-01-15 07:00,23.2,50,,900
35035020,AEROPUERTO VANGUARDIA [35035020],4.1619194440,-73.61757778,422,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,Villavicencio,15/10/1924 00:00,,TEMPERATURA,TSSM_CON,"Temperatura seca de las 700, 1300 y 1800",Horaria,2005-01-15 13:00,25.8,50,,900
35035020,AEROPUERTO VANGUARDIA [35035020],4.1619194440,-73.61757778,422,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,Villavicencio,15/10/1924 00:00,,TEMPERATURA,TSSM_CON,"Temperatura seca de las 700, 1300 y 1800",Horaria,2005-01-15 19:00,23.7,50,,900
35035020,AEROPUERTO VANGUARDIA [35035020],4.1619194440,-73.61757778,422,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,Villavicencio,15/10/1924 00:00,,TEMPERATURA,TSSM_CON,"Temperatura seca de las 700, 1300 y 1800",Horaria,2005-01-16 07:00,22.6,50,,900
35035020,AEROPUERTO VANGUARDIA [35035020],4.1619194440,-73.61757778,422,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,Villavicencio,15/10/1924 00:00,,TEMPERATURA,TSSM_CON,"Temperatura seca de las 700, 1300 y 1800",Horaria,2005-01-16 13:00,29.8,50,,900
35035020,AEROPUERTO VANGUARDIA [35035020],4.1619194440,-73.61757778,422,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,Villavicencio,15/10/1924 00:00,,TEMPERATURA,TSSM_CON,"Temperatura seca de las 700, 1300 y 1800",Horaria,2005-01-16 19:00,24.2,50,,900
35035020,AEROPUERTO VANGUARDIA [35035020],4.1619194440,-73.61757778,422,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,Villavicencio,15/10/1924 00:00,,TEMPERATURA,TSSM_CON,"Temperatura seca de las 700, 1300 y 1800",Horaria,2005-01-17 07:00,23.1,50,,900
35035020,AEROPUERTO VANGUARDIA [35035020],4.1619194440,-73.61757778,422,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,Villavicencio,15/10/1924 00:00,,TEMPERATURA,TSSM_CON,"Temperatura seca de las 700, 1300 y 1800",Horaria,2005-01-17 13:00,30.5,50,,900
35035020,AEROPUERTO VANGUARDIA [35035020],4.1619194440,-73.61757778,422,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,Villavicencio,15/10/1924 00:00,,TEMPERATURA,TSSM_CON,"Temperatura seca de las 700, 1300 y 1800",Horaria,2005-01-17 19:00,23.3,50,,900
35035020,AEROPUERTO VANGUARDIA [35035020],4.1619194440,-73.61757778,422,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,Villavicencio,15/10/1924 00:00,,TEMPERATURA,TSSM_CON,"Temperatura seca de las 700, 1300 y 1800",Horaria,2005-01-18 07:00,23.2,50,,900
35035020,AEROPUERTO VANGUARDIA [35035020],4.1619194440,-73.61757778,422,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,Villavicencio,15/10/1924 00:00,,TEMPERATURA,TSSM_CON,"Temperatura seca de las 700, 1300 y 1800",Horaria,2005-01-18 13:00,29.6,50,,900
35035020,AEROPUERTO VANGUARDIA [35035020],4.1619194440,-73.61757778,422,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,Villavicencio,15/10/1924 00:00,,TEMPERATURA,TSSM_CON,"Temperatura seca de las 700, 1300 y 1800",Horaria,2005-01-18 19:00,26.5,50,,900
35035020,AEROPUERTO VANGUARDIA [35035020],4.1619194440,-73.61757778,422,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,Villavicencio,15/10/1924 00:00,,TEMPERATURA,TSSM_CON,"Temperatura seca de las 700, 1300 y 1800",Horaria,2005-01-19 07:00,22.6,50,,900
35035020,AEROPUERTO VANGUARDIA [35035020],4.1619194440,-73.61757778,422,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,Villavicencio,15/10/1924 00:00,,TEMPERATURA,TSSM_CON,"Temperatura seca de las 700, 1300 y 1800",Horaria,2005-01-19 13:00,27.2,50,,900
35035020,AEROPUERTO VANGUARDIA [35035020],4.1619194440,-73.61757778,422,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,Villavicencio,15/10/1924 00:00,,TEMPERATURA,TSSM_CON,"Temperatura seca de las 700, 1300 y 1800",Horaria,2005-01-19 19:00,24.1,50,,900
35035020,AEROPUERTO VANGUARDIA [35035020],4.1619194440,-73.61757778,422,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,Villavicencio,15/10/1924 00:00,,TEMPERATURA,TSSM_CON,"Temperatura seca de las 700, 1300 y 1800",Horaria,2005-01-20 07:00,20.2,50,,900
35035020,AEROPUERTO VANGUARDIA [35035020],4.1619194440,-73.61757778,422,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,Villavicencio,15/10/1924 00:00,,TEMPERATURA,TSSM_CON,"Temperatura seca de las 700, 1300 y 1800",Horaria,2005-01-20 13:00,31.6,50,,900
