"","Fecha","Municipio","precipitacion","dias_lluvia"
"425","2012-04","Cubarral",598,26
"426","2012-04","Villavicencio",546.3,26
"427","2012-05","Cubarral",801,27
"428","2012-05","Villavicencio",575.8,25
"429","2012-06","Cubarral",552,27
"430","2012-06","Villavicencio",423.9,24
"431","2012-07","Cubarral",548,28
"432","2012-07","Villavicencio",595.7,27
"433","2012-08","Acacías",234,9
"434","2012-08","Cubarral",723,30
"435","2012-08","Villavicencio",371.6,29
"436","2012-09","Acacías",288,14
"437","2012-09","Cubarral",334,24
"438","2012-09","Villavicencio",281.3,19
"439","2012-10","Acacías",559,18
"440","2012-10","Cubarral",498,20
"441","2012-10","Villavicencio",586.1,20
"442","2012-11","Acacías",560,18
"443","2012-11","Cubarral",573,20
"444","2012-11","Villavicencio",257.2,15
"445","2012-12","Acacías",205,11
"446","2012-12","Cubarral",525,21
"447","2012-12","Villavicencio",316.1,17
"448","2013-01","Acacías",0,0
"449","2013-01","Cubarral",44,10
"450","2013-01","Villavicencio",0.3,1
"451","2013-02","Acacías",90,5
"452","2013-02","Cubarral",359,22
"453","2013-02","Villavicencio",79.3,10
"454","2013-03","Acacías",298,15
"455","2013-03","Cubarral",638,27
"456","2013-03","Villavicencio",224.9,21
"457","2013-04","Acacías",534,17
"458","2013-04","Cubarral",681,25
"459","2013-04","Villavicencio",662.5,20
"460","2013-05","Acacías",769,23
"461","2013-05","Cubarral",1049,31
"462","2013-05","Villavicencio",741.6,27
"463","2013-06","Acacías",652,20
"464","2013-06","Cubarral",847,29
"465","2013-06","Villavicencio",418.8,27
"466","2013-07","Acacías",437,22
"467","2013-07","Cubarral",866,29
"468","2013-07","Villavicencio",583.7,27
"469","2013-08","Acacías",326,24
"470","2013-08","Cubarral",450,28
"471","2013-08","Villavicencio",264.5,27
"472","2013-09","Acacías",203,11
"473","2013-09","Cubarral",454,24
"474","2013-09","Villavicencio",222,19
"475","2013-10","Acacías",506,15
"476","2013-10","Cubarral",771,25
"477","2013-10","Villavicencio",332.6,19
"478","2013-11","Acacías",487,20
"479","2013-11","Cubarral",922,29
"480","2013-11","Villavicencio",516.1,25
"481","2013-12","Acacías",215,11
"482","2013-12","Cubarral",437,17
"483","2013-12","Villavicencio",173.4,11
"484","2014-01","Acacías",26,2
"485","2014-01","Cubarral",100,18
"486","2014-01","Villavicencio",26.5,6
